cn,pinyin,vocabulary,pinyin_vocab,th,id1,sentence_test,translate
嘴,zuǐ,嘴巴," zuǐ bā ",ปาก,201,小狗张开嘴巴吃饭。,ลูกสุนัขอ้าปากกินข้าว
眼,yǎn,眼花," yǎn huā ",ตาลาย,202,跑得太快让我眼花。,วิ่งเร็วเกินไปทำให้ฉันตาลาย
睛,jīng,眼睛," yǎn jīng ",ดวงตา,203,我的眼睛看得很清楚。,ดวงตาของฉันมองเห็นได้ชัดเจนมาก
脚,jiǎo,脚丫," jiǎo yā ",เท้าเล็ก,204,孩子的脚丫很可爱。,เท้าเล็ก ๆ ของเด็กน่ารักมาก
腿,tuǐ,大腿," dà tuǐ ",ต้นขา,205,他跑步时大腿很用力。,ตอนเขาวิ่ง ขาอ่อนออกแรงมาก
翅,chì,翅膀," chì bǎng ",ปีก,206,小鸟张开翅膀飞走。,นกตัวเล็กกางปีกแล้วบินจากไป
膀,bǎng,肩膀," jiān bǎng ",ไหล่,207,爸爸把包放在肩膀上。,พ่อสะพายกระเป๋าไว้บนไหล่
羽,yǔ,羽毛," yǔ máo ",ขนนก,208,地上有一根羽毛。,บนพื้นมีขนนกหนึ่งเส้น
体,tǐ,身体," shēn tǐ ",ร่างกาย,209,运动对身体很好。,การออกกำลังกายดีต่อร่างกายมาก
没,méi,没有," méi yǒu",ไม่มี,210,今天没有下雨。,วันนี้ฝนไม่ตก
认,rèn,认真,"rèn zhēn ",ตั้งใจ/จริงจัง,211,他认真听老师讲课。,เขาตั้งใจฟังครูสอน
识,shí,认识," rèn shí ",รู้จัก,212,我认识很多新朋友。,ฉันรู้จักเพื่อนใหม่หลายคน
颜,yán,颜色," yán sè ",สี,213,这些颜色很好看。,สีเหล่านี้ดูสวยงามมาก
黄,huáng,黄色," huáng sè ",สีเหลือง,214,香蕉是黄色的。,กล้วยเป็นสีเหลือง
蓝,lán,蓝莓," lán méi ",บลูเบอร์รี่,215,蓝莓酸酸甜甜的。,บลูเบอร์รีมีรสเปรี้ยวอมหวาน
绿,lǜ,绿色," lǜ sè ",สีเขียว,216,树叶是绿色的。,ใบไม้เป็นสีเขียว
粉,fěn,面粉," miàn fěn ",แป้ง,217,妈妈用面粉做蛋糕。,แม่ใช้แป้งทำเค้ก
青,qīng,青草," qīng cǎo ",หญ้าเขียว,218,牛在吃青草。,วัวกำลังกินหญ้า
紫,zǐ,紫色," zǐ sè ",สีม่วง,219,花朵是紫色的。,ดอกไม้เป็นสีม่วง
彩,cǎi,彩色," cǎi sè ",สีสัน,220,彩色气球飞上天。,ลูกโป่งหลากสีลอยขึ้นสู่ท้องฟ้า
食,shí,食物," shí wù ",อาหาร,221,桌上有很多食物。,บนโต๊ะมีอาหารมากมาย
物,wù,礼物," lǐ wù ",ของขวัญ,222,这是送给你的礼物。,นี่คือของขวัญที่ให้คุณ
尝,cháng,尝一尝," cháng yī cháng ",ลองชิม,223,我想尝一尝这个。,ฉันอยากลองชิมดู
闻,wén,新闻," xīn wén ",ข่าว,224,爸爸在看新闻。,พ่อกำลังดูข่าว
味,wèi,味道," wèi dào ",รสชาติ,225,这个汤味道很好。,ซุปนี้รสชาติดีมาก
鲜,xiān,鲜美," xiān měi ",สดอร่อย,226,鱼汤非常鲜美。,ซุปปลามีรสชาติอร่อยมาก
苦,kǔ,痛苦," tòng kǔ ",เจ็บปวด,227,摔倒时会感到痛苦。,เวลาล้มจะรู้สึกเจ็บ
甜,tián,甜蜜," tián mì ",หวานชื่น,228,糖果吃起来很甜蜜。,ลูกอมกินแล้วหวานมาก
什,shén,什么," shén me ",อะไร,229,你在看什么？,คุณกำลังดูอะไรอยู่
么,me,怎么," zěn me",ยังไง,230,你怎么做到的？,คุณทำได้อย่างไร
起,qǐ,起来,"qǐ lái ",ลุกขึ้น,231,早上要早点起来。,ตอนเช้าต้องตื่นให้เช้า
运,yùn,运动," yùn dòng ",ออกกำลังกาย,232,每天运动身体好。,ออกกำลังกายทุกวันร่างกายแข็งแรง
动,dòng,动作," dòng zuò ",ท่าทาง,233,他的动作很标准。,ท่าทางของเขาถูกต้องมาก
踢,tī,踢球," tī qiú ",เตะบอล,234,我们在操场踢球。,พวกเราเตะบอลอยู่ที่สนาม
足,zú,足球," zú qiú ",ฟุตบอล,235,我最喜欢足球。,ฉันชอบฟุตบอลที่สุด
