id1,cn,pinyin,vocabulary,pinyin_vocab,th,sentence_test,pinyin_sentence,translate
1,一,yī,一个,yī gè,หนึ่งอัน,我有一个苹果,wǒ yǒu yí gè píng guǒ,ฉันมีแอปเปิลหนึ่งลูก
2,二,èr,第二,dì èr,ลำดับที่สอง,这是我第二次来这里,zhè shì wǒ dì èr cì lái zhè lǐ,นี่เป็นครั้งที่สองที่ฉันมาที่นี่
3,三,sān,三个,sān gè,สามอัน,我有三个苹果,wǒ yǒu sān gè píng guǒ,ฉันมีแอปเปิลสามลูก
4,人,rén,大人,dà rén,ผู้ใหญ่,大人在工作,dà rén zài gōng zuò,ผู้ใหญ่กำลังทำงาน
5,个,gè,一个,yī gè,หนึ่งอัน,我有一个书包,wǒ yǒu yí gè shū bāo,ฉันมีกระเป๋านักเรียนหนึ่งใบ
6,大,dà,大人,dà rén,ผู้ใหญ่,这个大人很高,zhè ge dà rén hěn gāo,ผู้ใหญ่คนนี้ตัวสูงมาก
7,山,shān,大山,dà shān,ภูเขาใหญ่,那是一座大山,nà shì yī zuò dà shān,นั่นคือภูเขาลูกใหญ่
8,上,shàng,山上,shān shàng,บนเขา,山上有一个人,shān shàng yǒu yí gè rén,บนเขามีคนอยู่ 1 คน
9,下,xià,向下,xiàng xià,ไปข้างล่าง,小球向下掉,xiǎo qiú xiàng xià diào,ลูกบอลกลิ้งตกลงด้านล่าง
10,小,xiǎo,大小,dà xiǎo,ขนาด,这个大小刚好,zhè ge dà xiǎo gāng hǎo,ขนาดนี้พอดีเลย
11,雨,yǔ,下雨,xià yǔ,ฝนตก,今天下雨了,jīn tiān xià yǔ le,วันนี้ฝนตก
12,天,tiān,天上,tiān shàng,บนท้องฟ้า,天上有太阳,tiān shàng yǒu tài yáng,บนท้องฟ้ามีดวงอาทิตย์
13,车,chē,小车,xiǎo chē,รถเล็ก,小车很快,xiǎo chē hěn kuài,รถคันเล็กวิ่งเร็วมาก
14,开,kāi,开门,kāi mén,เปิดประตู,快开门,kuài kāi mén,รีบเปิดประตู
15,火,huǒ,火车,huǒ chē,รถไฟ,我坐火车去北京,wǒ zuò huǒ chē qù běi jīng,ฉันนั่งรถไฟไปปักกิ่ง
16,门,mén,大门,dà mén,ประตูใหญ่,大门开了,dà mén kāi le,ประตูใหญ่เปิดแล้ว
