id1,cn,pinyin,vocabulary,pinyin_vocab,th,sentence_test,pinyin_sentence,translate
1,一,yī,一个,yī gè,หนึ่งอัน,我有一个苹果,,ฉันมีแอปเปิลหนึ่งลูก
2,二,èr,第二,dì èr,ลำดับที่สอง,这是我第二次来这里,,นี่เป็นครั้งที่สองที่ฉันมาที่นี่
3,三,sān,三个,sān gè,สามอัน,我有三个苹果,,ฉันมีแอปเปิลสามลูก
4,人,rén,大人,dà rén,ผู้ใหญ่,大人在工作,,ผู้ใหญ่กำลังทำงาน
5,个,gè,一个,yī gè,หนึ่งอัน,我有一个书包,,ฉันมีกระเป๋านักเรียนหนึ่งใบ
6,大,dà,大人,dà rén,ผู้ใหญ่,这个大人很高,,ผู้ใหญ่คนนี้ตัวสูงมาก
7,山,shān,大山,dà shān,ภูเขาใหญ่,那是一座大山,,นั่นคือภูเขาลูกใหญ่
8,上,shàng,山上,shàng shān,บนเขา,山上有一个人,,บนเขามีคนอยู่ 1 คน
9,下,xià,向下,xiàng xià,ไปข้างล่าง,小球向下掉,,ลูกบอลกลิ้งตกลงด้านล่าง
10,小,xiǎo,大小,dà xiǎo,ขนาด,这个大小刚好,,ขนาดนี้พอดีเลย
11,雨,yǔ,下雨,xià yǔ,ฝนตก,今天下雨了,,วันนี้ฝนตก
12,天,tiān,天上,tiān shàng,บนท้องฟ้า,天上有太阳,,บนท้องฟ้ามีดวงอาทิตย์
13,车,chē,小车,xiǎo chē,รถเล็ก,小车很快,,รถคันเล็กวิ่งเร็วมาก
14,开,kāi,开门,kāi mén,เปิดประตู,快开门,,รีบเปิดประตู
15,火,huǒ,火车,huǒ chē,รถไฟ,我坐火车去北京,,ฉันนั่งรถไฟไปปักกิ่ง
16,门,mén,大门,dà mén,ประตูใหญ่,大门开了,,ประตูใหญ่เปิดแล้ว
17,口,kǒu,开口,kāi kǒu,อ้าปาก,开口大笑,,หัวเราะลั่น
18,月,yuè,月亮,yuè liàng,พระจันทร์,天上有个月亮,,บนท้องฟ้ามีพระจันทร์หนึ่งดวง
19,羊,yáng,小羊,xiǎo yáng,ลูกแกะตัวเล็ก,三只小羊上山,,แกะน้อยสามตัวขึ้นเขา
20,只,zhī,一只,yī zhī,หนึ่งตัว,山上有一只大山羊,,บนเขามีแพะตัวใหญ่หนึ่งตัว
21,有,yǒu,没有,méi yǒu,ไม่มี,今天没有下雨，我可以出去玩,,วันนี้ฝนไม่ตก ฉันสามารถออกไปเล่นได้
22,牛,niú,水牛,shuǐ niú,ควาย,水牛在农田里慢慢地走,,ควายน้ำเดินช้า ๆ อยู่ในนา
23,水,shuǐ,雨水,yǔ shuǐ,น้ำฝน,雨水从天空落到地上,,น้ำฝนตกจากท้องฟ้าลงสู่พื้นดิน
24,中,zhōng,中间,zhōng jiān,ตรงกลาง,小猫坐在桌子的中间,,ลูกแมวนั่งอยู่กลางโต๊ะ
25,风,fēng,风车,fēng chē,กังหันลม,风车在风中不停地转,,กังหันลมหมุนไม่หยุดท่ามกลางสายลม
26,头,tóu,头发,tóu fā,เส้นผม,她的头发又黑又长,,ผมของเธอดำและยาว
27,田,tián,农田,nóng tián,ไร่นา,农田里种着很多禾苗,,ในไร่นามีต้นกล้าปลูกอยู่มากมาย
28,土,tǔ,土堆,tǔ duī,กองดิน,路边有一个小土堆,,ข้างถนนมีกองดินเล็ก ๆ กองหนึ่ง
29,里,lǐ,里面,lǐ miàn,ข้างใน,盒子里面有一支笔,,ในกล่องมีปากกาหนึ่งด้าม
30,在,zài,正在,zhèng zài,กำลังอยู่,哥哥正在写作业,,พี่ชายกำลังทำการบ้าน
31,日,rì,日出,rì chū,พระอาทิตย์ขึ้น,我和爸爸一起看日出,,ฉันกับพ่อดูพระอาทิตย์ขึ้นด้วยกัน
32,白,bái,白天,bái tiān,เวลากลางวัน,白天我们在学校上课,,ตอนกลางวันพวกเราเรียนหนังสือที่โรงเรียน
33,马,mǎ,小马,xiǎo mǎ,ลูกม้า,小马在草地上跑,,ลูกม้าวิ่งอยู่บนสนามหญ้า
34,手,shǒu,小手,xiǎo shǒu,มือเล็ก,孩子用小手拿着书,,เด็กใช้มือเล็ก ๆ ถือหนังสือ
35,出,chū,出去,chū qù,ออกไป,我们一起出去玩吧,,พวกเราออกไปเล่นด้วยกันเถอะ
36,王,wáng,大王,dà wáng,ราชา,故事里的大王很勇敢,,ราชาในเรื่องราวกล้าหาญมาก
37,子,zǐ,孩子,hái zǐ,เด็ก/ลูก,孩子们在操场上玩,,เด็ก ๆ กำลังเล่นอยู่ในสนาม
38,儿,ér,儿子,ér zǐ,ลูกชาย,他是爸爸的儿子,,เขาเป็นลูกชายของพ่อ
39,女,nǚ,女孩,nǚ hái,เด็กผู้หญิง,那个女孩在笑,,เด็กผู้หญิงคนนั้นกำลังยิ้ม
40,刀,dāo,刀子,dāo zǐ,มีด,妈妈用刀子切水果,,แม่ใช้มีดหั่นผลไม้
41,木,mù,木头,mù tóu,ท่อนไม้,地上有很多木头,,บนพื้นมีไม้มากมาย
42,鸟,niǎo,小鸟,xiǎo niǎo,นกน้อย,小鸟在树上唱歌,,นกตัวเล็กร้องเพลงอยู่บนต้นไม้
43,伞,sǎn,雨伞,yǔ sǎn,ร่มกันฝน,下雨时我要带雨伞,,เวลาฝนตกฉันต้องพกร่ม
44,鱼,yú,小鱼,xiǎo yú,ปลาตัวเล็ก,小鱼在水里游泳,,ปลาน้อยว่ายน้ำอยู่ในน้ำ
45,瓜,guā,西瓜,xī guā,แตงโม,西瓜又大又甜,,แตงโมทั้งลูกใหญ่และหวาน
46,气,qì,天气,tiān qì,สภาพอากาศ,今天天气很好,,วันนี้อากาศดีมาก
47,飞,fēi,飞走,fēi zǒu,บินหนีไป,小鸟看到人就飞走了,,นกเห็นคนก็บินหนีไป
48,虫,chóng,虫子,chóng zǐ,ตัวแมลง,花园里有小虫子,,ในสวนมีแมลงตัวเล็ก ๆ
49,米,mǐ,大米,dà mǐ,ข้าวสาร,妈妈用大米煮饭,,แม่ใช้ข้าวสารหุงข้าว
